,var,說明,,,,註解,
1,barrels08,變數FuelType1 的年度石油消耗量,,,,,
2,barrelsA08,變數FuelType2 的年度石油消耗量,,,, ,
3,charge120,120V 充電時間,,,,電動車,
4,charge240,240V充電時間,,,,電動車,
5,city08,FuelType1 的城中油耗量,,,,可刪除,
6,city08U,Unrounded city08,,,, ,
7,cityA08,FuelType2 的城中油耗量,,,,可刪除,
8,cityA08U,Unrounded cityA08,,,, ,
9,cityCD,油電混和模式的城中油耗量,,,,電動車,
10,cityE,城中電力消耗量,,,,電動車,
11,cityUF,city utility factor for PHEV cars,,,,電動車,
12,co2,fuelType1的排氣量,,,,,
13,co2A,fueltype2的排氣量,,,, ,
14,co2TailpipeAGpm,同co2A,,,,可刪除,
15,co2TailpipeGpm,同co2,,,,可刪除,
16,comb08,fueltype1 綜合油耗,,,,可刪除,
17,comb08U,unrounded comb08,,,, ,
18,combA08,fueltype2 綜合油耗,,,,可刪除,
19,combA08U,unrounded combA08,,,, ,
20,combE,電力綜合消耗量,,,,電動車,
21,combinedCD,油電混和模式綜合油耗,,,,電動車,
22,combinedUF,utility factor for PHEV ,,,,電動車,
23,cylinders,汽缸數,,,,199 missinng ,
24,displ,引擎排氣量,,,,197 missing,
25,drive,輪軸種類,,,,1189 missing,
26,engId,engine id ,,,,可刪除,
27,eng_dscr,引擎種類,,,,可刪除,
28,feScore,fuel economy 評分,,,,78% mds 可刪除,
29,fuelCost08,fuelType1 年花費,,,,,
30,fuelCostA08,fuelType 2 年花費,,,, ,
31,fuelType,fueltype1 + fueltype2,,,,可刪除,
32,fuelType1,主要燃料,,,,,
33,ghgScore,,,,,78% missing 可刪除,
34,ghgScoreA,,,,,98% missing 可刪除,
35,highway08,fueltype1 高速公路油耗,,,,可刪除,
36,highway08U,unrounded highway08,,,, ,
37,highwayA08,fueltype2 高速公路油耗,,,,可刪除,
38,highwayA08U,unrounded highway!08,,,, ,
39,highwayCD,油電混和模式的高速公路油耗,,,,電動車,
40,highwayE,電動車的高速公路耗電量,,,,電動車,
41,highwayUF,utility factor of highway for PHEV,,,,電動車,
42,hlv,後掀式車廂容量 cubic feet,,,, ,
43,hpv,後掀式座位容量 cubic feet,,,, ,
44,id,車輛id,,,,可刪除,
45,lv2,2門車車廂容量,,,, ,
46,lv4,4門車車廂容量,,,, ,
47,make,品牌,,,,136 levels,分為日美 系
48,model,車款,,,,4040 車款 可刪除,
49,mpgData,有無油耗資料紀載,,,,"Y/N資料, 可刪除",
50,phevBlended,是否為油電混和,,,,電動車,
51,pv2,2門車座位容量,,,, ,
52,pv4,4門車座位容量,,,, ,
53,range,EPA range,,,,"99.5% 為 0 ,可刪除",
54,rangeCity,EPA range for city,,,,"99.5% 為 0 ,可刪除",
55,rangeCityA,,,,,99.6% 為 0 可刪除,
56,rangeHwy,,,,,"99.5% 為 0 ,可刪除",
57,rangeHwyA,,,,,99.6% 為 0 可刪除,
58,trany,傳動系統種類,,,,37 levels,
59,UCity,EPA 統計 fueltype1 城中油耗,,,,,
60,UCityA,EPA 統計 fueltype2 城中油耗,,,, ,
61,UHighway,EPA 統計 fueltype1 高速公路油耗,,,,,
62,UHighwayA,EPA 統計 fueltype2 高速公路油耗,,,, ,
63,VClass,汽車大小,,,,34 levels,
64,year,車款年齡,,,,,
65,youSaveSpend,5年省下的油錢 (VS average),,,,,
66,trans_dscr,傳動系統種類細分,,,,可刪除,
67,mfrCode,生產商ID,,,,可刪除,
68,charge240b,240V充電時間beta,,,,電動車,
69,createdOn,紀錄時間,,,," 時間變化, 需再做調整",
70,modifiedOn,上次更新時間,,,," 時間變化, 需再做調整",
71,phevCity,油電混和車轉換後City 油耗,,,,電動車,
72,phevHwy,油電混和車轉換後Highway 油耗,,,,電動車,
73,phevComb,油電混和車轉換後綜合 油耗,,,,電動車,
