make,Country
Alfa Romeo,Europe
Aston Martin,Europe
Audi,Europe
Bentley,Europe
Bertone,Europe
Bitter Gmbh and Co. Kg,Europe
BMW,Europe
BMW Alpina,Europe
Bugatti,Europe
Dacia,Europe
Ferrari,Europe
Fiat,Europe
Jaguar,Europe
Koenigsegg,Europe
Lamborghini,Europe
Land Rover,Europe
London Coach Co Inc,Europe
London Taxi,Europe
Lotus,Europe
Maserati,Europe
Maybach,Europe
Mcevoy Motors,Europe
McLaren Automotive,Europe
Mercedes-Benz,Europe
MINI,Europe
Morgan,Europe
Pagani,Europe
Panther Car Company Limited,Europe
Peugeot,Europe
Pininfarina,Europe
Plymouth,Europe
Porsche,Europe
Qvale,Europe
Renault,Europe
Rolls-Royce,Europe
RUF Automobile,Europe
Ruf Automobile Gmbh,Europe
Saab,Europe
smart,Europe
Spyker,Europe
Sterling,Europe
TVR Engineering Ltd,Europe
Volkswagen,Europe
Volvo,Europe
Yugo,Europe
Acura,Japan
CX Automotive,Japan
Daihatsu,Japan
Honda,Japan
Infiniti,Japan
Isuzu,Japan
Lexus,Japan
Mazda,Japan
Mitsubishi,Japan
Nissan,Japan
Scion,Japan
Subaru,Japan
Suzuki,Japan
Toyota,Japan
Autokraft Limited,Others
BYD,Others
CCC Engineering,Others
Daewoo,Others
Environmental Rsch and Devp Corp,Others
Genesis,Others
Goldacre,Others
Hyundai,Others
Kia,Others
Lambda Control Systems,Others
Mahindra,Others
Quantum Technologies,Others
Volga Associated Automobile,Others
AM General,USA
American Motors Corporation,USA
ASC Incorporated,USA
Aurora Cars Ltd,USA
Avanti Motor Corporation,USA
Azure Dynamics,USA
Bill Dovell Motor Car Company,USA
Buick,USA
Cadillac,USA
Chevrolet,USA
Chrysler,USA
CODA Automotive,USA
Consulier Industries Inc,USA
Dabryan Coach Builders Inc,USA
Dodge,USA
"E. P. Dutton, Inc.",USA
Eagle,USA
Evans Automobiles,USA
Excalibur Autos,USA
Federal Coach,USA
Fisker,USA
Ford,USA
General Motors,USA
Geo,USA
GMC,USA
Grumman Allied Industries,USA
Grumman Olson,USA
Hummer,USA
Import Foreign Auto Sales Inc,USA
Import Trade Services,USA
Isis Imports Ltd,USA
J.K. Motors,USA
"JBA Motorcars, Inc.",USA
Jeep,USA
Karma,USA
Kenyon Corporation Of America,USA
Laforza Automobile Inc,USA
Lincoln,USA
Mercury,USA
Merkur,USA
Mobility Ventures LLC,USA
Oldsmobile,USA
Panos,USA
Panoz Auto-Development,USA
PAS Inc - GMC,USA
"PAS, Inc",USA
Pontiac,USA
Ram,USA
Red Shift Ltd.,USA
Roush Performance,USA
S and S Coach Company  E.p. Dutton,USA
Saleen,USA
Saleen Performance,USA
Saturn,USA
Shelby,USA
SRT,USA
Superior Coaches Div E.p. Dutton,USA
"Tecstar, LP",USA
Tesla,USA
Texas Coach Company,USA
Vector,USA
Vixen Motor Company,USA
VPG,USA
Wallace Environmental,USA
